St  Name                           Version                        Arch   Description                                                  Licenses
ii  gvfs-backends                  1.30.4-1                       armhf  userspace virtual filesystem - backends                      GPL-2+ GPL-3+ LGPL-2+
ii  gvfs-common                    1.30.4-1                       all    userspace virtual filesystem - common data files             GPL-2+ GPL-3+ LGPL-2+
ii  gvfs-daemons                   1.30.4-1                       armhf  userspace virtual filesystem - servers                       GPL-2+ GPL-3+ LGPL-2+
ii  gvfs-fuse                      1.30.4-1                       armhf  userspace virtual filesystem - fuse server                   GPL-2+ GPL-3+ LGPL-2+
ii  gvfs-libs:armhf                1.30.4-1                       armhf  userspace virtual filesystem - private libraries             GPL-2+ GPL-3+ LGPL-2+
ii  gzip                           1.6-5                          armhf  GNU compression utilities                                    GPL
ii  hardlink                       0.3.0                          armhf  Hardlinks multiple copies of the same file                   Expat
ii  hicolor-icon-theme             0.15-1                         all    default fallback theme for FreeDesktop.org icon themes       GPL
ii  hostname                       3.18                           armhf  utility to set/show the host name or domain name             GPL-2
ii  htop                           2.0.2-1                        armhf  interactive processes viewer                                 GPL-2+
ii  hunspell-en-gb                 1:5.2.5-1                      all    English (GB) dictionary for hunspell                         AGPL-3+ BSD-2-clause BSD-2-clause or CC-BY-3.0 BSD-3-clause CC-BY-3.0 CC-BY-4.0 CC-BY-SA-3.0 GFDL GPL GPL-2 GPL-2+ GPL-2 or LGPL-2.1 or MPL-1.1 GPL-2+ or LGPL-2.1 or MPL-1.1 GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+ or LGPL-2.1+ or MPL-1.1+ GPL-3 GPL-3+ GPL-3+ or LGPL-3+ GPL-3 or LGPL-3 or MPL-1.1 GPL-3+ or LGPL-3+ or MPL-1.1+ GPL or LGPL GPL or LGPL or MPL LGPL LGPL-2+ LGPL-2.1 LGPL-2.1+ LGPL-2.1 or GPL-2 or MPL-1.1 LGPL-3 LGPL-3+ LGPL-3+ or GPL-3+ LGPL-3 or MPL LGPL or SISSL LPPL-1.3 MPL-1.1 MPL-1.1 or GPL-2 or LGPL-2.1 MPL-1.1 or GPL-3+ or LGPL-3+ MPL-2 MPL-2.0 MPL or LGPL-3+ SISSL
