St  Name                           Version                        Arch   Description                                                  Licenses
ii  libprotobuf-lite10:armhf       3.0.0-9                        armhf  protocol buffers C++ library (lite version)                  Apache-2.0 BSD-3-Clause~Bloomberg BSD-3-Clause~Google BSD-3-Clause~RedHat Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  libproxy-tools                 0.4.14-2                       armhf  automatic proxy configuration management library (tools)     GPL LGPL-2.1
ii  libproxy1v5:armhf              0.4.14-2                       armhf  automatic proxy configuration management library (shared)    GPL LGPL-2.1
ii  libpsl5:armhf                  0.17.0-3                       armhf  Library for Public Suffix List (shared libraries)            Chromium MIT
ii  libpulse0:armhf                10.0-1+deb9u1                  armhf  PulseAudio client libraries                                  GPL-2 LGPL-2 LGPL-2.1
ii  libpulsedsp:armhf              10.0-1+deb9u1                  armhf  PulseAudio OSS pre-load library                              GPL-2 LGPL-2 LGPL-2.1
ii  libpython-all-dev:armhf        2.7.13-2                       armhf  package depending on all supported Python development packag GPL-compatible GPL-compatible licenses
ii  libpython-dev:armhf            2.7.13-2                       armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  libpython-stdlib:armhf         2.7.13-2                       armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython2.7:armhf             2.7.13-2+deb9u3                armhf  Shared Python runtime library (version 2.7)                  Apache-2.0 GPL-2
ii  libpython2.7-dev:armhf         2.7.13-2+deb9u3                armhf  Header files and a static library for Python (v2.7)          Apache-2.0 GPL-2
ii  libpython2.7-minimal:armhf     2.7.13-2+deb9u3                armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  libpython2.7-stdlib:armhf      2.7.13-2+deb9u3                armhf  Interactive high-level object-oriented language (standard li Apache-2.0 GPL-2
ii  libpython3-dev:armhf           3.5.3-1                        armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  libpython3-stdlib:armhf        3.5.3-1                        armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython3.5:armhf             3.5.3-1+deb9u1                 armhf  Shared Python runtime library (version 3.5)                  Apache-2.0 GPL-2
ii  libpython3.5-dev:armhf         3.5.3-1+deb9u1                 armhf  Header files and a static library for Python (v3.5)          Apache-2.0 GPL-2
ii  libpython3.5-minimal:armhf     3.5.3-1+deb9u1                 armhf  Minimal subset of the Python language (version 3.5)          Apache-2.0 GPL-2
ii  libpython3.5-stdlib:armhf      3.5.3-1+deb9u1                 armhf  Interactive high-level object-oriented language (standard li Apache-2.0 GPL-2
ii  libqt5concurrent5:armhf        5.7.1+dfsg-3+rpi1              armhf  Qt 5 concurrent module                                       Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5core5a:armhf             5.7.1+dfsg-3+rpi1              armhf  Qt 5 core module                                             Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5dbus5:armhf              5.7.1+dfsg-3+rpi1              armhf  Qt 5 D-Bus module                                            Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5gui5:armhf               5.7.1+dfsg-3+rpi1              armhf  Qt 5 GUI module                                              Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5network5:armhf           5.7.1+dfsg-3+rpi1              armhf  Qt 5 network module                                          Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5printsupport5:armhf      5.7.1+dfsg-3+rpi1              armhf  Qt 5 print support module                                    Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5sql5:armhf               5.7.1+dfsg-3+rpi1              armhf  Qt 5 SQL module                                              Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5sql5-sqlite:armhf        5.7.1+dfsg-3+rpi1              armhf  Qt 5 SQLite 3 database driver                                Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5svg5:armhf               5.7.1~20161021-2               armhf  Qt 5 SVG module                                              BSD-3-clause GFDL-NIV-1.3 GPL-2 GPL-3 with Qt-1.0 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2, MIT-ISI
ii  libqt5widgets5:armhf           5.7.1+dfsg-3+rpi1              armhf  Qt 5 widgets module                                          Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libqt5x11extras5:armhf         5.7.1~20161021-2               armhf  Qt 5 X11 extras                                              GFDL-NIV-1.3 GPL-2 GPL-3 with Qt-1.0 exception LGPL-3 LGPL-3 or GPL-2
ii  libqt5xml5:armhf               5.7.1+dfsg-3+rpi1              armhf  Qt 5 XML module                                              Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  libraspberrypi-bin             1.20181112-1                   armhf  Miscellaneous Raspberry Pi utilities                         Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-dev             1.20181112-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-doc             1.20181112-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi0                1.20181112-1                   armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraw1394-11:armhf            2.1.2-1                        armhf  library for direct access to IEEE 1394 bus (aka FireWire)    GPL LGPL
ii  libreadline6:armhf             6.3-9                          armhf  GNU readline and history libraries, run-time libraries       GPL-3
ii  libreadline7:armhf             7.0-3                          armhf  GNU readline and history libraries, run-time libraries       GFDL GPL-3
ii  libresid-builder0c2a           2.1.1-15                       armhf  SID chip emulation class based on resid                      GPL
ii  librest-0.7-0:armhf            0.8.0-2                        armhf  REST service access library                                  GPL-2+ LGPL-2.1
ii  librsvg2-2:armhf               2.40.16-1                      armhf  SAX-based renderer library for SVG files (runtime)           GPL-2+ LGPL-2+
ii  librsvg2-common:armhf          2.40.16-1                      armhf  SAX-based renderer library for SVG files (extra runtime)     GPL-2+ LGPL-2+
ii  librtimulib-dev                7.2.1-4                        armhf  Versatile C++ and Python 9-dof, 10-dof and 11-dof IMU librar BSD-2-Clause BSD-3-Clause GPL-3.0+ MIT
ii  librtimulib-utils              7.2.1-4                        armhf  Versatile C++ and Python 9-dof, 10-dof and 11-dof IMU librar BSD-2-Clause BSD-3-Clause GPL-3.0+ MIT
ii  librtimulib7                   7.2.1-4                        armhf  Versatile C++ and Python 9-dof, 10-dof and 11-dof IMU librar BSD-2-Clause BSD-3-Clause GPL-3.0+ MIT
ii  librtmp1:armhf                 2.4+20151223.gitfa8646d.1-1    armhf  toolkit for RTMP streams (shared library)                    GPL-2 LGPL-2.1
ii  librubberband2:armhf           1.8.1-7                        armhf  audio time-stretching and pitch-shifting library             GPL-2+ other-1 other-bsd-3-clause-kissft other-bsd-3-clause-speex other-bsd-4-clause-1 other-bsd-4-clause-2 zlib
ii  libsamplerate0:armhf           0.1.8-8                        armhf  Audio sample rate conversion library                         GPL
ii  libsasl2-2:armhf               2.1.27~101-g0780600+dfsg-3     armhf  Cyrus SASL - authentication abstraction library              BSD-4-clause GPL-3+
ii  libsasl2-modules:armhf         2.1.27~101-g0780600+dfsg-3     armhf  Cyrus SASL - pluggable authentication modules                BSD-4-clause GPL-3+
ii  libsasl2-modules-db:armhf      2.1.27~101-g0780600+dfsg-3     armhf  Cyrus SASL - pluggable authentication modules (DB)           BSD-4-clause GPL-3+
ii  libsbc1:armhf                  1.3-2                          armhf  Sub Band CODEC library - runtime                             GPL-2+ LGPL-2+
ii  libsdl-image1.2:armhf          1.2.12-5+deb9u1                armhf  Image loading library for Simple DirectMedia Layer 1.2, libr LGPL-2.1+ zlib/libpng
ii  libsdl-mixer1.2:armhf          1.2.12-11+b1                   armhf  Mixer library for Simple DirectMedia Layer 1.2, libraries    Artistic Artistic or GPL-2+ or LGPL-2.1+ GPL-2+ LGPL-2.1+ zlib/libpng
ii  libsdl-ttf2.0-0:armhf          2.0.11-3                       armhf  TrueType Font library for Simple DirectMedia Layer 1.2, libr zlib/libpng
ii  libsdl1.2debian:armhf          1.2.15+dfsg1-4+rpt1            armhf  Simple DirectMedia Layer                                     LGPL
ii  libsdl2-2.0-0:armhf            2.0.5+dfsg1-2                  armhf  Simple DirectMedia Layer                                     BrownUn_UnCalifornia_ErikCorry BSD-3-clause BSD-3-clause-chromium Expat-like Gareth_McCaughan LGPL-2.1+ MIT/X11 PublicDomain_David_Ludwig PublicDomain_Edgar_Simo PublicDomain_Sam_Lantinga RSA_Data_Security SGI-Free-Software-License-B SunPro zlib/libpng
ii  libseccomp2:armhf              2.3.1-2.1+deb9u1               armhf  high level interface to Linux seccomp filter                 LGPL-2.0+
ii  libsecret-1-0:armhf            0.18.5-3.1                     armhf  Secret store                                                 Apache-2.0 BSD-3-clause GPL-2+ LGPL-2.1+
ii  libsecret-common               0.18.5-3.1                     all    Secret store (common files)                                  Apache-2.0 BSD-3-clause GPL-2+ LGPL-2.1+
ii  libselinux1:armhf              2.6-3                          armhf  SELinux runtime shared libraries                             GPL-2 LGPL-2.1
ii  libsemanage-common             2.6-2                          all    Common files for SELinux policy management libraries         GPL LGPL
ii  libsemanage1:armhf             2.6-2                          armhf  SELinux policy management library                            GPL LGPL
ii  libsensors4:armhf              1:3.4.0-4                      armhf  library to read temperature/voltage/fan sensors              GPL GPL-2
ii  libsepol1:armhf                2.6-2                          armhf  SELinux library for manipulating binary security policies    GPL LGPL
ii  libserd-0-0:armhf              0.26.0~dfsg0-1                 armhf  lightweight RDF syntax library                               BSD-3-clause ISC
ii  libshine3:armhf                3.1.0-5                        armhf  Fixed-point MP3 encoding library - runtime files             GPL-2+ LGPL-2
ii  libshout3:armhf                2.3.1-3                        armhf  MP3/Ogg Vorbis broadcast streaming library                   Expat~X Expat~X with X exception GAP GAP~configure GAP~Makefile.in GPL-2 GPL-2+ GPL-2+~file GPL-2+~file with Autoconf exception GPL-2+ with Autoconf exception GPL-3+ LGPL-2+ NTP~Rushing
ii  libsidplay2                    2.1.1-15                       armhf  SID (MOS 6581) emulation library                             GPL
ii  libsigc++-1.2-5c2              1.2.7-2+b1                     armhf  type-safe Signal Framework for C++ - runtime                 LGPL
ii  libsigc++-2.0-0v5:armhf        2.10.0-1                       armhf  type-safe Signal Framework for C++ - runtime                 LGPL-2.1
ii  libslang2:armhf                2.3.1-5                        armhf  S-Lang programming library - runtime version                 GPL-2+
ii  libsm6:armhf                   2:1.2.2-1+b1                   armhf  X11 Session Management library                               unknown
ii  libsmartcols1:armhf            2.29.2-1+deb9u1                armhf  smart column output alignment library                        BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libsmbclient:armhf             2:4.5.12+dfsg-2+deb9u4         armhf  shared library for communication with SMB/CIFS servers       BSD-3 GPL-3 GPL-3+ LGPL-3+ MS-ADSL
ii  libsnappy1v5:armhf             1.1.3-3                        armhf  fast compression/decompression library                       unknown
ii  libsndfile1:armhf              1.0.27-3                       armhf  Library for reading/writing audio files                      LGPL-2.1+
ii  libsndio6.1:armhf              1.1.0-3                        armhf  Small audio and MIDI framework from OpenBSD, runtime librari ISC ISC-packaging
ii  libsodium18:armhf              1.0.11-2                       armhf  Network communication, cryptography and signaturing library  BSD-2-clause CC0 GPL-2+ ISC MIT public-domain
ii  libsord-0-0:armhf              0.16.0~dfsg0-1                 armhf  library for storing RDF data in memory                       BSD-3-clause ISC
ii  libsoundtouch1:armhf           1.9.2-2+deb9u1                 armhf  Sound stretching library                                     LGPL-2.1+
ii  libsoup-gnome2.4-1:armhf       2.56.0-2+deb9u2                armhf  HTTP library implementation in C -- GNOME support library    LGPL-2+
ii  libsoup2.4-1:armhf             2.56.0-2+deb9u2                armhf  HTTP library implementation in C -- Shared library           LGPL-2+
ii  libsoxr0:armhf                 0.1.2-2                        armhf  High quality 1D sample-rate conversion library               BSD-3-clause LGPL-2.1+ permissive1 permissive2 Spherepack
ii  libspandsp2:armhf              0.0.6+dfsg-0.1                 armhf  Telephony signal processing library                          GPL-2 LGPL-2.1
ii  libspectre1:armhf              0.2.8-1                        armhf  Library for rendering PostScript documents                   GPL-2+
ii  libspeex1:armhf                1.2~rc1.2-1                    armhf  The Speex codec runtime library                              unknown
ii  libspeexdsp1:armhf             1.2~rc1.2-1                    armhf  The Speex extended runtime library                           unknown
ii  libsqlite3-0:armhf             3.16.2-5+deb9u1                armhf  SQLite 3 shared library                                      GPL-2+ public-domain
ii  libsratom-0-0:armhf            0.6.0~dfsg0-1                  armhf  library for serialising LV2 atoms to/from Turtle             BSD-3-clause ISC
ii  libsrtp0                       1.4.5~20130609~dfsg-2          armhf  Secure RTP (SRTP) and UST Reference Implementations - shared BSD-3-clause~Cisco BSD-3-clause~Ingate GAP~configure GPL-2+~file GPL-2+~file with Autoconf exception GPL-3+ MIT
ii  libss2:armhf                   1.43.4-2                       armhf  command-line interface parsing library                       unknown
ii  libssh-gcrypt-4:armhf          0.7.3-2+deb9u1                 armhf  tiny C SSH library (gcrypt flavor)                           BSD-2-clause BSD-3-clause LGPL-2.1 LGPL-2.1+~OpenSSL LGPL-2.1+~OpenSSL or BSD-2-clause or BSD-3-clause public-domain
ii  libssh2-1:armhf                1.7.0-1                        armhf  SSH2 client-side library                                     BSD3
ii  libssl1.0.2:armhf              1.0.2q-1~deb9u1                armhf  Secure Sockets Layer toolkit - shared libraries              BSD-style
ii  libssl1.1:armhf                1.1.0j-1~deb9u1                armhf  Secure Sockets Layer toolkit - shared libraries              BSD-style
ii  libstartup-notification0:armhf 0.12-4                         armhf  library for program launch feedback (shared library)         LGPL
ii  libstdc++-6-dev:armhf          6.3.0-18+rpi1+deb9u1           armhf  GNU Standard C++ Library v3 (development files)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libstdc++6:armhf               6.3.0-18+rpi1+deb9u1           armhf  GNU Standard C++ Library v3                                  Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libswresample2:armhf           7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library for audio resampling, rematrixing etc. - runt BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libswscale4:armhf              7:3.2.12-1~deb9u1+rpt1         armhf  FFmpeg library for image scaling and various conversions - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ man-page public-domain Sundry Zlib
ii  libsysfs2:armhf                2.1.0+repack-4                 armhf  interface library to sysfs                                   GPL LGPL
ii  libsystemd0:armhf              232-25+deb9u8                  armhf  systemd utility library                                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libtag1v5:armhf                1.11.1+dfsg.1-0.1              armhf  audio meta-data library                                      BSD-2-clause LGPL-2.1 LGPL-2.1 or MPL-1.1 MPL-1.1
ii  libtag1v5-vanilla:armhf        1.11.1+dfsg.1-0.1              armhf  audio meta-data library - vanilla flavour                    BSD-2-clause LGPL-2.1 LGPL-2.1 or MPL-1.1 MPL-1.1
ii  libtalloc2:armhf               2.1.8-1                        armhf  hierarchical pool based memory allocator                     BSD-3 ISC LGPL-3+
ii  libtasn1-6:armhf               4.10-1.1+deb9u1                armhf  Manage ASN.1 structures (runtime)                            GFDL-1.3 GPL-3 LGPL LGPL-2.1
ii  libtcl8.6:armhf                8.6.6+dfsg-1                   armhf  Tcl (the Tool Command Language) v8.6 - run-time library file unknown
ii  libtdb1:armhf                  1.3.11-2                       armhf  Trivial Database - shared library                            BSD-3 GPL-3+ ISC LGPL-3+
ii  libtevent0:armhf               0.9.31-1                       armhf  talloc-based event loop library - shared library             BSD-3 ISC LGPL-3+ PostgreSQL PP
ii  libtext-charwidth-perl         0.04-7+b7                      armhf  get display widths of characters on the terminal             Artistic GPL-2
ii  libtext-iconv-perl             1.7-5+b8                       armhf  converts between character sets in Perl                      Artistic GPL-2
ii  libtext-wrapi18n-perl          0.06-7.1                       all    internationalized substitute of Text::Wrap                   Artistic GPL
ii  libthai-data                   0.1.26-1                       all    Data files for Thai language support library                 GPL-2+ LGPL-2.1+
ii  libthai0:armhf                 0.1.26-1                       armhf  Thai language support library                                GPL-2+ LGPL-2.1+
ii  libtheora0:armhf               1.1.1+dfsg.1-14                armhf  Theora Video Compression Codec                               unknown
ii  libtiff5:armhf                 4.0.8-2+deb9u4                 armhf  Tag Image File Format (TIFF) library                         Hylafax
ii  libtinfo5:armhf                6.0+20161126-1+deb9u2          armhf  shared low-level terminfo library for terminal handling      unknown
ii  libtirpc1:armhf                0.2.5-1.2+deb9u1               armhf  transport-independent RPC library                            GPL-2
ii  libtk8.6:armhf                 8.6.6-1                        armhf  Tk toolkit for Tcl and X11 v8.6 - run-time files             unknown
ii  libtwolame0:armhf              0.3.13-2                       armhf  MPEG Audio Layer 2 encoding library                          LGPL-2+
ii  libtxc-dxtn-s2tc:armhf         1.0+git20151227-2              armhf  Texture compression library for Mesa                         Expat
ii  libubsan0:armhf                6.3.0-18+rpi1+deb9u1           armhf  UBSan -- undefined behaviour sanitizer (runtime)             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libudev0:armhf                 175-7.2                        armhf  libudev shared library                                       GPL-2 LGPL-2.1
ii  libudev1:armhf                 232-25+deb9u8                  armhf  libudev shared library                                       CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libudisks2-0:armhf             2.1.8-1                        armhf  GObject based library to access udisks2                      GPL-2+ LGPL-2+
ii  libunique-1.0-0                1.1.6-5                        armhf  Library for writing single instance applications - shared li LGPL-2.1
ii  libunistring0:armhf            0.9.6+really0.9.3-0.1          armhf  Unicode string library for C                                 GFDL-1.2+ GPL-2+ GPL-2+ with exception GPL-3+ GPL-3+ or GFDL-1.2+ LGPL-3+ MIT
ii  libupnp6                       1:1.6.19+git20160116-1.2       armhf  Portable SDK for UPnP Devices, version 1.6 (shared libraries Academia_Sinica_XML_Now BSD-like GPL-2+ GPL-2+ with Autoconf exception ISC MIT-like RSA
ii  libusageenvironment3:armhf     2016.11.28-1+deb9u1            armhf  multimedia RTSP streaming library (UsageEnvironment classes) LGPL-2.1+
ii  libusb-0.1-4:armhf             2:0.1.12-30                    armhf  userspace USB programming library                            LGPL-2
ii  libusb-1.0-0:armhf             2:1.0.21-1                     armhf  userspace USB programming library                            GPL-2 LGPL-2.1
ii  libusbmuxd4:armhf              1.0.10-3                       armhf  USB multiplexor daemon for iPhone and iPod Touch devices - l GPL-2+ LGPL-2.1+
ii  libustr-1.0-1:armhf            1.0.4-6                        armhf  Micro string library: shared library                         BSD-2-clause GPL-2+ LGPL-2+ LGPL-2+ or BSD-2-clause or MIT MIT
ii  libuuid1:armhf                 2.29.2-1+deb9u1                armhf  Universally Unique ID library                                BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libv4l-0:armhf                 1.12.3-1                       armhf  Collection of video4linux support libraries                  GPL-2 LGPL
ii  libv4l2rds0:armhf              1.12.3-1                       armhf  Video4Linux Radio Data System (RDS) decoding library         GPL-2 LGPL
ii  libv4lconvert0:armhf           1.12.3-1                       armhf  Video4linux frame format conversion library                  GPL-2 LGPL
ii  libva-drm1:armhf               1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- DRM runtime         BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libva-wayland1:armhf           1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- Wayland runtime     BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libva-x11-1:armhf              1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- X11 runtime         BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libva1:armhf                   1.7.3-2                        armhf  Video Acceleration (VA) API for Linux -- runtime             BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  libvdpau-va-gl1:armhf          0.4.2-1                        armhf  VDPAU driver with OpenGL/VAAPI backend                       LGPL-3
ii  libvdpau1:armhf                1.1.1-6                        armhf  Video Decode and Presentation API for Unix (libraries)       Expat other
ii  libvisual-0.4-0:armhf          0.4.0-10                       armhf  audio visualization framework                                LGPL-2+ LGPL-2.1+
ii  libvlc-bin:armhf               3.0.6-0+rpt1+deb9u1            armhf  tools for VLC's base library                                 BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  libvlc5:armhf                  3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer library                       BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  libvlccore9:armhf              3.0.6-0+rpt1+deb9u1            armhf  base library for VLC and its modules                         BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  libvo-aacenc0:armhf            0.1.3-1                        armhf  VisualOn AAC encoder library                                 Apache-2.0
ii  libvo-amrwbenc0:armhf          0.1.3-1                        armhf  VisualOn AMR-WB encoder library                              Apache-2.0
ii  libvorbis0a:armhf              1.3.5-4+deb9u2                 armhf  decoder library for Vorbis General Audio Compression Codec   unknown
ii  libvorbisenc2:armhf            1.3.5-4+deb9u2                 armhf  encoder library for Vorbis General Audio Compression Codec   unknown
ii  libvorbisfile3:armhf           1.3.5-4+deb9u2                 armhf  high-level API for Vorbis General Audio Compression Codec    unknown
ii  libvpx4:armhf                  1.6.1-3+deb9u1                 armhf  VP8 and VP9 video codec (shared library)                     BSD-3-Clause ISC public-domain
ii  libvte-common                  1:0.28.2-5                     all    Terminal emulator widget for GTK+ 2.x - common files         LGPL
ii  libvte9                        1:0.28.2-5                     armhf  Terminal emulator widget for GTK+ 2.0 - runtime files        LGPL
ii  libwacom-common                0.22-1                         all    Wacom model feature query library (common files)             MIT permissive
ii  libwacom2:armhf                0.22-1                         armhf  Wacom model feature query library                            MIT permissive
ii  libwavpack1:armhf              5.0.0-2+deb9u2                 armhf  audio codec (lossy and lossless) - library                   public domain
ii  libwayland-client0:armhf       1.12.0-1                       armhf  wayland compositor infrastructure - client library           X11
ii  libwayland-cursor0:armhf       1.12.0-1                       armhf  wayland compositor infrastructure - cursor library           X11
ii  libwayland-egl1-mesa:armhf     13.0.6-1+rpi2                  armhf  implementation of the Wayland EGL platform -- runtime        GPL LGPL
ii  libwayland-server0:armhf       1.12.0-1                       armhf  wayland compositor infrastructure - server library           X11
ii  libwbclient0:armhf             2:4.5.12+dfsg-2+deb9u4         armhf  Samba winbind client library                                 BSD-3 GPL-3 GPL-3+ LGPL-3+ MS-ADSL
ii  libwebkit2gtk-4.0-37:armhf     2.18.6-1~deb9u1+rpi1           armhf  Web content engine library for GTK+                          Apache-2.0 BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ ISC LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ MIT-X11 MPL-1.1 MPL-1.1 or GPL-2+ or LGPL-2.1+ public-domain
ii  libwebkitgtk-3.0-0:armhf       2.4.11-3+rpi1                  armhf  Web content engine library for GTK+                          GPL-2 LGPL-2
ii  libwebp6:armhf                 0.5.2-1                        armhf  Lossy compression of digital photographic images.            Apache-2.0
ii  libwebpdemux2:armhf            0.5.2-1                        armhf  Lossy compression of digital photographic images.            Apache-2.0
ii  libwebpmux2:armhf              0.5.2-1                        armhf  Lossy compression of digital photographic images.            Apache-2.0
